Дата,Генерація (кВт·год)
2025-07-01,0.625
2025-07-02,0.680
2025-07-03,0.675
2025-07-04,0.620
2025-07-05,0.695
2025-07-06,0.655
2025-07-07,0.648
2025-07-08,0.570
2025-07-09,0.598
2025-07-10,0.668
2025-07-11,0.730
2025-07-12,0.672
2025-07-13,0.660
2025-07-14,0.670
2025-07-15,0.600
2025-07-16,0.610
2025-07-17,0.570
2025-07-18,0.683
2025-07-19,0.655
2025-07-20,0.585
2025-07-21,0.730
2025-07-22,0.635
2025-07-23,0.620
2025-07-24,0.580
2025-07-25,0.695
2025-07-26,0.675
2025-07-27,0.620
2025-07-28,0.680
2025-07-29,0.620
2025-07-30,0.660
2025-07-31,0.615
